Tue Aug 04 07:31:07 MSK 2015	Football	Premier League 2015-16 preview No13: Southampton | Jacob Steinberg	[Premier League 2015-16 previews, Southampton, Football, Sport]
Tue Aug 04 07:30:03 MSK 2015	Children's books	Guardian children's fiction prize book club: El Deafo by Cece Bell	[Children and teenagers, Books, Culture, Children's books: 7 and under, Children's books: 8-12 years, Guardian children's fiction prize 2015, Guardian children's fiction prize, Awards and prizes, Deafness and hearing impairment]
Tue Aug 04 07:30:03 MSK 2015	Social Care Network	Social workers have a duty to speak up about the humanitarian crisis in Calais	[social care network: international social work hub, Social Care Network, Policy, Work practices, Social care, Society, Immigration and asylum]
Tue Aug 04 07:22:15 MSK 2015	UK news	Illegal immigrants to UK face eviction without court order under new laws	[Immigration and asylum, Housing, Theresa May, Politics, UK news, Society, Communities, Migration and development, Global development, Refugees, World news, Renting property, Money, Property, France, Europe]
Tue Aug 04 07:18:43 MSK 2015	Technology	How your smartphone's battery life can be used to invade your privacy	[Data and computer security, Technology, Privacy, World news, Smartphones, Mobile phones]
Tue Aug 04 07:15:03 MSK 2015	Cities	The privatisation of cities' public spaces is escalating. It is time to take a stand	[Cities, Privately owned public space (Pops), Privatisation, London, Protest, Real estate, UK news, Business, Economic policy, Politics, Maps, Occupy London, World news, Property]
Tue Aug 04 07:15:03 MSK 2015	Cities	London's public and private spaces – can you spot the difference? Quiz	[Cities, Privatisation, Occupy movement, Commercial property, London, Regeneration, Communities, Society, Real estate, Occupy London]
Tue Aug 04 07:03:14 MSK 2015	Film	Geoffrey Rush: My only ambition is to keep on putting 'actor' on my tax form	[Geoffrey Rush, Australian television, Australian theatre, Pirates of the Caribbean: Dead Men Tell No Tales, Film, Culture, Television, Australia news]
Tue Aug 04 07:02:57 MSK 2015	Music	Gwen Stefani and Gavin Rossdale file for divorce	[Music, Culture, Gwen Stefani, No Doubt, Pop and rock]
Tue Aug 04 07:00:03 MSK 2015	Television & radio	Harry Shearer on his Simpsons U-turn: 'All I can say is, it wasn’t a stunt'	[The Simpsons, US television, Donald Trump, Animation, Television, Culture]
Tue Aug 04 07:00:03 MSK 2015	Comment is free	This children’s poetry collection put a match to my imagination | Julie Myerson	[Poetry (children and teens), Children, Robert Louis Stevenson, Books, Children's books: 7 and under]
Tue Aug 04 07:00:02 MSK 2015	Books	Want to write a book? You can if you've got 75 minutes spare	[Ebooks, Books, Culture, Technology]
