Thu Sep 10 00:47:06 MSK 2015	US news	Ongoing child sex abuse in Catholic church casts shadow on pope's US visit	[US news, Catholicism, Christianity, Religion, Pope Francis, The papacy]
Thu Sep 10 00:43:22 MSK 2015	Sport	The night boxer Emile Griffith answered gay taunts with a deadly cortege of punches	[Boxing, Sport]
Thu Sep 10 00:38:23 MSK 2015	Fashion	20 years of eBay and all I got was a sweetcorn-shaped tea set	[Fashion, Life and style, eBay, Technology]
Thu Sep 10 00:30:04 MSK 2015	Comment is free	Britain’s public toilets are a disgrace | Mary Dejevsky	[Health, Rail transport, Transport, Society, UK news]
Thu Sep 10 00:30:04 MSK 2015	Society	Stitching together Cid's manhood: in the operating room for a female-to-male surgery	[Transgender, Society, Gender]
Thu Sep 10 00:28:57 MSK 2015	Children's books	Do you know how to pronounce Voldemort's name?	[Children and teenagers, Books, Culture, Harry Potter, Children's books: 7 and under, Children's books: 8-12 years, Teen books, JK Rowling]
Thu Sep 10 00:18:36 MSK 2015	Guardian Masterclasses	Maths: Exploring the beauty of numbers | Alex Bellos	[Guardian Masterclasses, New Masterclasses, Culture courses]
Thu Sep 10 00:18:14 MSK 2015	Society	Assisted dying: David Cameron opposes any move to legalise	[Assisted dying, UK news, House of Commons, Politics, Law, Society, David Cameron]
Thu Sep 10 00:16:48 MSK 2015	World news	Typhoon Etau: share your photos and experiences	[Natural disasters and extreme weather, Weather, US weather, Australia weather, Environment, Flooding]
Thu Sep 10 00:10:27 MSK 2015	Art and design	Life's a drug: why pharmaceutical art is so addictive	[Art, Drugs, Pharmaceuticals industry, Art and design, Sculpture, Culture, Society, Exhibitions]
Thu Sep 10 00:08:46 MSK 2015	Technology	Video games have a diversity problem that runs deeper than race or gender	[Games, Technology, Game culture, Culture, Retro games, PlayStation, Xbox, PC, Controversy]
Thu Sep 10 00:03:57 MSK 2015	Education	Judy Bax obituary	[Teaching, Local government, London]
Thu Sep 10 00:03:27 MSK 2015	Sport	Rugby World Cup preview No8: Japan	[Japan rugby union team, Rugby World Cup, Rugby World Cup 2015, Rugby World Cup 2015 previews, Rugby union, Sport]
Thu Sep 10 00:01:43 MSK 2015	Media	Pocket Miliband and Malaysian Airlines ads help boost M&C Saatchi profits	[M&C Saatchi, Advertising, Media business, Media, UK news, Ed Miliband, Alex Salmond, Nicola Sturgeon, Politics, Conservatives, Rugby World Cup]
Thu Sep 10 00:00:05 MSK 2015	Australia news	Green 'lawfare': voters feel Coalition is trying to silence environment groups	[Australian politics, Greg Hunt, Australian law, Environment, Activism, Tony Abbott, Queensland, Alan Jones, Coal, Mining, Fossil fuels]
Thu Sep 10 00:00:05 MSK 2015	Football	Premier League clubs are making progress over prayer rooms for fans	[Football, West Bromwich Albion, West Ham United, Liverpool, Samir Nasri, Mesut Ozil, Sport]
Thu Sep 10 00:00:03 MSK 2015	Australia news	Coalition MPs on 'green lawfare': mung bean soup to treasonous sabotage	[Australian politics, Australia news, Environment, Tasmania, New South Wales, Western Australia, Activism, Queensland]
Thu Sep 10 00:00:03 MSK 2015	Money	A warning to millennials: it's already time to start saving for retirement	[US personal finance, US retirement, Money]
Thu Sep 10 00:00:03 MSK 2015	Culture	Sights and sounds of summer: readers' festival photos from around the world	[Festivals, Festivals, Culture, Photography]
Thu Sep 10 11:59:06 MSK 2015	Environment	Campylobacter: tests fail to show organic chicken has higher infection rate	[The meat industry, Chicken, UK news, Food & drink industry, Farming, Environment, Meat, Food & drink]
Thu Sep 10 11:58:02 MSK 2015	Comment is free	The press regulator Ipso is a year old – and it’s a total failure | Polly Toynbee	[Press regulation, Press intrusion, Newspapers & magazines, Privacy & the media, Newspapers, Media, Rupert Murdoch, Paul Dacre]
Thu Sep 10 11:54:14 MSK 2015	UK news	Two teenagers arrested after suspected antisemitic attack in Manchester	[Manchester, Greater Manchester, UK news, Judaism]
Thu Sep 10 11:53:26 MSK 2015	Comment is free	25 ways you know your dog loves you (and that they’re better than cats) | Bella Mackie	[Dogs, Animals, Pets, Life and style, Cats, UK news, World news]
Thu Sep 10 11:51:43 MSK 2015	Media Network	Luxury brands must redefine the way they do business	[Media & Tech Network, Marketing & PR, Media, Retail industry, Business, Luxury goods sector, E-commerce, Internet, China, Asia Pacific]
