Fri Aug 21 17:20:55 MSK 2015	Business	Greek elections won't derail bailout, says EU, as Syriza splits - as it happened	[Eurozone crisis, Stock markets, Economics, Financial crisis, Financial sector, Business, China]
Fri Aug 21 17:17:53 MSK 2015	Education	Telegraph cheers success of state schools, but has it fudged the figures?	[Private schools, Schools, Education, Daily Telegraph, Media, National newspapers, Newspapers, Newspapers & magazines, Education policy, Politics, UK news]
Fri Aug 21 17:12:07 MSK 2015	Environment	Lancashire residents still have to boil tap water two weeks after outbreak	[Water, United Utilities, Business, Environment, Preston, Blackpool, UK news]
Fri Aug 21 17:04:49 MSK 2015	Science	Chris Marshall obituary	[Cancer, Medical research, Health, Science]
Fri Aug 21 16:53:34 MSK 2015	Technology	Uber bookings more than treble in a year to nearly $11bn, says report	[Uber, Apps, Road transport, Technology, World news, IPOs, Business]
Fri Aug 21 16:53:15 MSK 2015	Sport	Horse racing tips: Saturday 22 August	[Horse racing tips, Horse racing, Sport]
Fri Aug 21 16:49:55 MSK 2015	Comment is free	Shell will despoil the Arctic. But Barack Obama is the real villain here | John Vidal	[Arctic, Obama administration, Oil, Energy, Fossil fuels, Environment, Royal Dutch Shell, Oil, US news, World news, Barack Obama]
Fri Aug 21 16:48:34 MSK 2015	Stage	Ballet am Rhein: Seven at Edinburgh festival review – an epic staging of Mahler's Seventh	[Edinburgh festival 2015, Stage, Culture, Ballet, Classical music, Dance, Music]
Fri Aug 21 16:45:08 MSK 2015	Business	American Apparel: at first arty and subversive, then it got creepy	[American Apparel, Business, Retail industry, Fashion]
Fri Aug 21 16:43:33 MSK 2015	Comment is free	The Guardian view on Alexis Tsipras: a resignation that rolls the dice | Editorial	[Greece, Alexis Tsipras, Europe, World news, Eurozone, Business, European Union, Syriza]
Fri Aug 21 16:35:41 MSK 2015	Music	Positive Force: the film that remembers when punk took on the White House	[Punk, Washington DC, Fugazi, Music, Culture, US news, George HW Bush, Documentary, Film]
Fri Aug 21 16:35:30 MSK 2015	Sport	John McEnroe says he could beat Serena Williams	[John McEnroe, Sport, Tennis, Serena Williams, US sports]
Fri Aug 21 16:32:48 MSK 2015	US news	Women graduate for the first time from US Army Ranger School	[US military, US news, Georgia, Gender]
Fri Aug 21 16:29:35 MSK 2015	Politics	Labour leadership roundup: Politics live - readers' edition	[Politics, UK news, Labour party leadership, Jeremy Corbyn, Andy Burnham, Yvette Cooper, Liz Kendall]
Fri Aug 21 16:28:14 MSK 2015	Television & radio	Letter: David Nobbs as a mentor	[Comedy, Culture, Television, Comedy]
Fri Aug 21 16:23:42 MSK 2015	Environment	'Both sides are unhappy': Obama's Arctic drilling green light heightens tensions	[Oil, Royal Dutch Shell, Arctic, Fossil fuels, Environment, Hillary Clinton, Obama administration, Oil and gas companies, US news]
Fri Aug 21 16:23:18 MSK 2015	Sport	Novak Djokovic sees off Stan Wawrinka at Cincinnati Masters – as it happened	[Tennis, Novak Djokovic, Sport]
Fri Aug 21 16:21:52 MSK 2015	Technology	Boy, nine, fitted with first prosthetic hand that can change grip with gestures	[Technology, Disability, UK news, Society]
Fri Aug 21 16:21:44 MSK 2015	World news	Libya urges Arab allies to launch air strikes against Isis	[Libya, Africa, Middle East and North Africa, Islamic State, Foreign policy, Philip Hammond, Arms trade, Politics, World news]
Fri Aug 21 16:15:35 MSK 2015	Life and style	Experience: I got stuck hanging naked from a tree	[Art, Video art, Art and design, Health & wellbeing, Life and style]
