Tue Sep 15 10:00:14 MSK 2015	Global	Guardian Weekly Letters, 18 September 2015	[]
Tue Sep 15 08:23:57 MSK 2015	Australia news	Malcolm Turnbull holds the line on climate policy and marriage equality plebiscite	[Malcolm Turnbull, Australian politics, Liberal party, Coalition, Marriage equality (Australia), Climate change, Environment]
Tue Sep 15 08:20:30 MSK 2015	World news	West 'ignored Russian offer in 2012 to have Syria's Assad step aside'	[Syria, Middle East and North Africa, World news, Russia, Europe, United Nations]
Tue Sep 15 08:14:40 MSK 2015	Film	Less than Fantastic Four primed for sequel, says producer	[Film, Fantastic Four, Culture, Superhero movies, US news, 20th Century Fox, Marvel, World news, Film industry, Twitter, Business, Blogging]
Tue Sep 15 08:05:15 MSK 2015	Business	BMW boss faints at new 7 Series launch at Frankfurt motor show	[BMW, Automotive industry, Business]
Tue Sep 15 08:02:37 MSK 2015	Football	Football rumours: José Mourinho and Chelsea ban ‘banter’?	[Chelsea, Football, Sport]
Tue Sep 15 08:00:13 MSK 2015	Comment is free	Reach out to black communities, Corbyn. Don’t let Labour fail us again | Kehinde Andrews	[Labour, Race issues, World news, UK news, Politics, Labour party leadership, Jeremy Corbyn]
Tue Sep 15 08:00:12 MSK 2015	Global Development Professionals Network	Race to renewable: five developing countries ditching fossil fuels	[Global development professionals network, Renewable energy, Energy, Environment, Solar power, Costa Rica, Afghanistan, China, India, Albania, Wind power, Hydropower, Americas, Asia Pacific, Europe, World news, South and Central Asia]
Tue Sep 15 08:00:12 MSK 2015	Culture	Whitney Houston, Billie Holiday and the hologram craze – but is it worth a tour?	[Culture, Music, Billie Holiday, Whitney Houston, 2Pac]
Tue Sep 15 08:00:12 MSK 2015	Television & radio	EastEnders: Kathy Beale is back from the dead	[Soap opera, Television, Television & radio, Culture, Coronation Street, Emmerdale, Drama, EastEnders]
Tue Sep 15 08:00:12 MSK 2015	Books	So This Is Permanence review – Joy Division’s lyrics and notebooks	[Music, Paperbacks, Books, Joy Division, Music, Culture]
Tue Sep 15 08:00:11 MSK 2015	Children's books	Clockwork Princess by Cassandra Clare – review	[Children and teenagers, Books, Culture, Teen books, Historical fiction (children and teens), Children's fantasy books (children's and teens), Cassandra Clare, Paranormal romance (children and teens)]
Tue Sep 15 07:58:55 MSK 2015	Law	Paul Gambaccini calls for tougher action over false claims of sexual abuse	[UK criminal justice, UK news, Crown Prosecution Service, Police, Bernard Hogan-Howe, Law]
Tue Sep 15 07:57:37 MSK 2015	Social Care Network	The fragile care market will collapse unless councils act quickly | Paul Burstow	[social care network: adult social care hub, Social Care Network, Policy, Work practices, Homecare, Social care, Society, Local government, Older people]
Tue Sep 15 07:53:07 MSK 2015	Music	Pete Doherty 'suffered a serious anxiety attack' in hours before London gig	[The Libertines, Pop and rock, Music, Culture]
Tue Sep 15 07:47:14 MSK 2015	Society	Girl told to imagine she was 'a princess in a garden' as she underwent FGM in Australia	[Female genital mutilation (FGM), Sydney, Australia news, Australian law, New South Wales, Health]
Tue Sep 15 07:46:26 MSK 2015	Australia news	Malcolm Turnbull pressed on Nationals deal and marriage equality – as it happened	[Australian politics, Malcolm Turnbull, Tony Abbott, World news, Australia news]
Tue Sep 15 07:44:49 MSK 2015	World news	Who killed the 20th century’s greatest spy? | Simon Parkin	[Espionage, Egypt, Middle East and North Africa, World news, Crime, UK news]
Tue Sep 15 07:42:03 MSK 2015	Football	Champions League 2015-16: Guardian writers make their predictions	[Champions League, European club football, Football, Sport, Lionel Messi, Cristiano Ronaldo]
Tue Sep 15 07:39:48 MSK 2015	Australia news	Snap poll puts Malcolm Turnbull ahead of Bill Shorten among Labor voters	[Malcolm Turnbull, Bill Shorten, Labor party, Liberal party, Australian politics, Australia news, Canning byelection 2015]
Tue Sep 15 07:30:39 MSK 2015	Society	English life expectancy catches up with the west but poorest lag behind	[Health, Society, UK news]
Tue Sep 15 07:30:11 MSK 2015	Television & radio	Full-immersion TV – is Narcos too intense to binge-watch?	[Drama, Netflix, Television & radio, Culture, Media, Television]
