Tue Sep 15 10:00:14 MSK 2015	Global	Guardian Weekly Letters, 18 September 2015	[]
Mon Sep 14 21:06:00 MSK 2015	Sport	Stuart Lancaster sticks to his guns as England’s parade gets rained on	[England rugby union team, Rugby World Cup 2015, Stuart Lancaster, Fiji rugby union team, Rugby union, Rugby World Cup, Sport]
Mon Sep 14 21:00:00 MSK 2015	Sport	Stuart Lancaster calls on England players to ‘create memories’	[Stuart Lancaster, England rugby union team, Rugby World Cup 2015, Rugby World Cup, Rugby union, Sport]
Mon Sep 14 20:57:03 MSK 2015	Football	Dimitri Payet scores twice as West Ham ease to win over Newcastle	[West Ham United, Newcastle United, Football, Sport]
Mon Sep 14 20:46:02 MSK 2015	Politics	If first impressions matter, it's not been the best start for Jeremy Corbyn	[Jeremy Corbyn, Labour party leadership, UK news, Politics, Women in politics, Labour]
Mon Sep 14 20:42:28 MSK 2015	Politics	Corbyn gathers his cabinet and makes first moves to rally MPs	[Jeremy Corbyn, Labour, EU referendum, John McDonnell, Hilary Benn, Maria Eagle, Angela Eagle, Diane Abbott, Chuka Umunna, Trident, UK news, Politics, Defence policy, European Union, Foreign policy]
Mon Sep 14 20:38:36 MSK 2015	Football	Louis van Gaal: A draw a good result but I want to beat PSV Eindhoven	[Manchester United, Louis van Gaal, PSV Eindhoven, Champions League, Football, Sport]
Mon Sep 14 20:31:25 MSK 2015	Film	Another spoonful of sugar: Mary Poppins to be remade by Disney	[Film, Culture, Musicals]
Mon Sep 14 20:30:15 MSK 2015	Sport	A history of the Wallabies at the Rugby World Cup: part I | Aaron Timms	[Australia rugby union team, Rugby World Cup, Rugby World Cup 2015, Rugby union, Australia sport, Sport]
Mon Sep 14 20:30:15 MSK 2015	News	The Arctic loses its grip	[Meteorology, Polar regions, Environment, Climate change, Climate change, Science]
Mon Sep 14 20:29:00 MSK 2015	Art and design	Papunya's daughters: Australia's second generation of master dot painters	[Painting, Art, Art and design, Culture, Indigenous Australians, Exhibitions, Australia news]
Mon Sep 14 20:25:36 MSK 2015	Australia news	Malcolm Turnbull promises new style of leadership after overthrowing Abbott	[Malcolm Turnbull, Australia news, Australian politics, Tony Abbott, Liberal party, Julie Bishop]
Mon Sep 14 20:15:48 MSK 2015	Sport	Wales call up Gloucester’s Ross Moriarty to replace injured wing Eli Walker	[Rugby World Cup, Rugby World Cup 2015, Sport, Wales rugby union team, Rugby union]
Mon Sep 14 20:00:14 MSK 2015	News	Corrections and clarifications	[]
Mon Sep 14 19:58:42 MSK 2015	Politics	Jeremy Corbyn addresses Labour MPs at Westminster – as it happened	[Politics, UK news, Labour, Labour party leadership, Jeremy Corbyn, John McDonnell, EU referendum, Hilary Benn, Europe, European Union, Caroline Flint, Women in politics]
Mon Sep 14 19:57:47 MSK 2015	US news	California drought: Sierra Nevada snowpack falls to 500-year low	[California drought, California, Climate change, Snow, Drought, Water, Environment, US news, World news]
Mon Sep 14 19:57:43 MSK 2015	US news	Mexican woman's arrest at clinic 'may deter migrants from seeking healthcare'	[Texas, Mexico, US immigration, US healthcare, Americas, US news]
Mon Sep 14 19:53:06 MSK 2015	Politics	Roy Hattersley couldn’t be more wrong about Jeremy Corbyn | Letters	[Labour, Jeremy Corbyn, Roy Hattersley, Labour party leadership, Politics, UK news]
Mon Sep 14 19:51:45 MSK 2015	Law	Lord Haw-Haw’s treason trial and the killing of Reyaad Khan | Letters	[Law, UK news, Islamic State, Drones (military), World news, Syria, Middle East and North Africa]
Mon Sep 14 19:50:31 MSK 2015	Football	Memphis Depay looks for consistency on return to PSV Eindhoven	[Manchester United, PSV Eindhoven, Louis van Gaal, Champions League, Football, Sport]
Mon Sep 14 19:49:47 MSK 2015	US news	Two untamed wildfires displace 23,000 people in northern California	[California, Wildfires, US news, Drought, Natural disasters and extreme weather, Water, Environment]
Mon Sep 14 19:46:41 MSK 2015	Education	A fix for deficient free school meals policy | Letter from Frank Field	[School meals, Schools, Education, Primary schools, Education policy, Politics, Children, Society, UK news, Poverty, Social exclusion]
Mon Sep 14 19:45:28 MSK 2015	Politics	Angelina Jolie Pitt did not leave us starstruck	[House of Lords, Angelina Jolie, Politics, Deafness and hearing impairment, Disability]
Mon Sep 14 19:42:28 MSK 2015	UK news	No silver jubilee for Queen Victoria | Letters	[Monarchy, Queen Victoria, UK news, Genetics, Biology, Science]
Mon Sep 14 19:40:55 MSK 2015	US news	Bernie Sanders' appeal to Christian students met with polite scepticism	[Bernie Sanders, US elections 2016, US news, Democrats, US politics, Christianity, Evangelical Christianity, World news, US universities, Abortion, US income inequality, Virginia]
Mon Sep 14 19:40:37 MSK 2015	World news	Kim Cattrall and the population debate: not having children  is a gift to the world | Letters	[Population, Kim Cattrall, Family, Life and style, World news, Environment, Climate change]
Mon Sep 14 19:37:35 MSK 2015	UK news	Yorkshire’s intra-county rivalry is all too true | Letters	[Yorkshire, David Cameron, Politics, UK news, Film, Culture, David Bowie, Music, Gardens, Life and style, Monarchy, British identity and society, Society]
Mon Sep 14 19:34:26 MSK 2015	World news	Berlin's disused airport to provide temporary shelter for refugees	[Germany, Refugees, Europe, World news]
Mon Sep 14 19:33:16 MSK 2015	US news	Ferguson Commission recommends drastic overhaul of city policing system	[Ferguson, Missouri, US policing, US news, Michael Brown shooting]
Mon Sep 14 19:31:43 MSK 2015	Art and design	Frank Gehry says his plan for LA will make New York's High Line look 'pishy'	[Frank Gehry, Architecture, Art and design, Culture, Los Angeles, California, Cities]
Mon Sep 14 19:17:45 MSK 2015	Comment is free	Jeremy Corbyn’s politics of hope can seize power from the elite | Aditya Chakrabortty	[Labour, Jeremy Corbyn, Politics, UK news]
Mon Sep 14 19:06:56 MSK 2015	Football	Manchester City's Vincent Kompany: we have no more Champions League excuses	[Manchester City, Vincent Kompany, Juventus, Champions League, Football, Sport]
Mon Sep 14 19:04:04 MSK 2015	Comment is free	The Guardian view on the EU response to the refugee crisis: a challenge it has failed to meet | Editorial	[Refugees, Migration, Germany, Syria, World news, European Union, Europe, Foreign policy, Politics, David Cameron, UK news, Alan Kurdi, Middle East and North Africa, Lithuania, Poland, Greece, Lebanon]
Mon Sep 14 19:03:59 MSK 2015	World news	French airstrikes against Isis are necessary, says François Hollande	[France, Islamic State, Syria, François Hollande, Europe, Middle East and North Africa, World news]
Mon Sep 14 19:00:32 MSK 2015	Comment is free	The Guardian view on Labour’s shadow cabinet: gambling on the economy | Editorial	[Labour, Jeremy Corbyn, Politics, Labour party leadership, John McDonnell, UK news]
Mon Sep 14 18:59:47 MSK 2015	Politics	Business leaders left unworried by Jeremy Corbyn's new Labour lineup	[Labour, Business, Stock markets, UK news, Jeremy Corbyn, Politics, Economics, Economic policy]
Mon Sep 14 18:59:13 MSK 2015	Comment is free	Cameron won’t take refugees who have reached Europe – like there’s a humanitarian offside rule	[Refugees, Migration, Syria, David Cameron, Turkey, Middle East and North Africa, World news, Politics, UK news, Lebanon]
Mon Sep 14 18:50:38 MSK 2015	Film	Johnny Depp: If anyone bullied my kids, I would destroy them	[Toronto film festival 2015, Culture, Film, Johnny Depp, Black Mass, Toronto film festival, Biopics]
Mon Sep 14 18:49:16 MSK 2015	Politics	No-nonsense John McDonnell may have to compromise as shadow chancellor	[John McDonnell, Jeremy Corbyn, Labour, Politics, UK news, Labour party leadership]
Mon Sep 14 18:48:38 MSK 2015	Business	Seven years on from Lehman Brothers collapse, it's time for Fed to raise rates	[Lehman Brothers, Business, Guy Hands, Jeremy Corbyn, Energy industry, Labour, Federal Reserve, US economy, China, UK news, Banking, Economics, Justin King, Healthcare industry]
Mon Sep 14 18:45:09 MSK 2015	US news	Scott Walker's 'draconian' labor plan to call for ending federal workers' unions	[US elections 2016, Scott Walker, US unions, Wisconsin, US politics, US news, Republicans]
Mon Sep 14 18:36:15 MSK 2015	Politics	Was Jeremy Corbyn at the Commons just for some peace and quiet?	[Jeremy Corbyn, Labour, Trade unions, House of Commons, Angela Eagle, Sajid Javid, John McDonnell, Chuka Umunna, Politics, UK news]
Mon Sep 14 18:36:09 MSK 2015	Sport	Sussex’s Ed Joyce feels the relief after recovering against Somerset	[County Championship Division One, Sussex, Somerset, Cricket, Sport]
Mon Sep 14 18:31:29 MSK 2015	Culture	Riot Fest review:  Iggy Pop and NWA bring the spirit of the early 90s	[Festivals, Iggy Pop, Music, Culture, Hip-hop, Indie, Punk]
Mon Sep 14 18:30:12 MSK 2015	Comment is free	I’m with Helen Mirren on arms round necks – let’s try a daily sexism scorecard | Lucy Mangan	[Equality, Feminism, Women, World news, Social media, Relationships]
Mon Sep 14 18:26:37 MSK 2015	US news	British man dies in Hawaii high-rise fall after trying to save teenager	[Hawaii, US news, UK news, World news]
Mon Sep 14 18:19:32 MSK 2015	US news	Sign attacking Black Lives Matter activists left at site of police shooting	[North Carolina, US news, Race issues, Black Lives Matter movement]
Mon Sep 14 18:11:14 MSK 2015	Politics	Prime minister Jeremy Corbyn: the first 100 days
	[Jeremy Corbyn, Politics, Labour, Labour party leadership, UK news, Books, Culture]
Mon Sep 14 18:04:39 MSK 2015	Australia news	From Spycatcher to prime minister: the Malcolm Turnbull I knew	[Malcolm Turnbull, Australian politics, Australia news, World news]
Mon Sep 14 18:04:38 MSK 2015	Sport	Alex Hales set to replace Adam Lyth in England squad to face Pakistan	[England cricket team, Trevor Bayliss, Pakistan cricket team, Cricket, Sport]
Mon Sep 14 18:00:12 MSK 2015	Science	Birds in love produce more babies, study shows | @GrrlScientist	[Science, Evolution, Biology, Animal behaviour, Reproduction, Zoology, Birds, Wildlife, Conservation, Animals, Zoos]
Mon Sep 14 18:00:12 MSK 2015	Comment is free	It’s not the Chinese economy that’s on life support | Martin Jacques	[Chinese economy, China, Asia Pacific, Business, World news]
Mon Sep 14 17:57:24 MSK 2015	Media	Wales captures The Bastard Executioner in show of strength for TV industry	[Television industry, Wales, Business, UK news, Economic growth (GDP), Fox, Media business, Media, Television & radio, Jane Tranter, Welsh assembly government]
Mon Sep 14 17:55:45 MSK 2015	US news	Guantánamo force-feeding videos released to US court in redacted form	[Guantánamo Bay, Torture, Law, US news, World news]
Mon Sep 14 17:49:06 MSK 2015	World news	What is the UN general assembly?	[United Nations, World news]
Mon Sep 14 17:44:41 MSK 2015	UK news	Child rapist jailed despite support of Lady Butler-Sloss	[Crime, UK news, UK criminal justice, Law]
Mon Sep 14 17:41:56 MSK 2015	World news	Russia sends artillery and tanks to Syria as part of continued military buildup	[Syria, World news, Islamic State, Russia, Bashar al-Assad, Middle East and North Africa]
Mon Sep 14 17:41:35 MSK 2015	Australia news	Malcolm Turnbull: former journalist, banker, lawyer – and now Australia's PM	[Malcolm Turnbull, Tony Abbott, Liberal party, Australia news, World news]
Mon Sep 14 17:41:13 MSK 2015	Politics	Labour's Angela Eagle condemns 'draconian' trade union bill	[Trade unions, Labour, Angela Eagle, Sajid Javid, Conservatives, Green party, UK news, Politics]
