Tue Sep 22 17:49:52 MSK 2015	Science	Meteorite from birth of solar system to go on display	[Space, Science, Natural History Museum, Astronomy, Meteors]
Tue Sep 22 17:49:23 MSK 2015	World news	A kiss knows no borders: photographing a tender moment amid the refugee crisis	[Refugees, World news, Migration, Hungary, Europe, Syria, Middle East and North Africa, Photography]
Tue Sep 22 17:46:33 MSK 2015	World news	First of 20,000 Syrian refugees arrive in UK	[Syria, Refugees, Immigration and asylum, UK news, Middle East and North Africa, World news]
Tue Sep 22 17:43:52 MSK 2015	Comment is free	The Guardian view on George Osborne’s new economic strategy: it needs to be made explicit and debated | Editorial	[Economic policy, George Osborne, China, Global economy, Economics, Politics, Business, UK news, Asia Pacific, World news, Conservatives, Foreign policy]
Tue Sep 22 17:43:22 MSK 2015	Business	Commodity shares push FTSE 100 to its lowest level for a month	[Stock markets, Business, Market turmoil, Global economy, Commodities, Chinese economy, China, Mining, Economics]
Tue Sep 22 17:43:12 MSK 2015	Info	Conference report: Scala World 2015	[Technology, Programming]
Tue Sep 22 17:30:26 MSK 2015	Comment is free	I set up #ShoutYourAbortion because I am not sorry, and I will not whisper | Lindy West	[Abortion, Health, Women, World news, Planned Parenthood, US news]
Tue Sep 22 17:23:06 MSK 2015	Politics	Lib Dem conference diary: mugs for mementos	[Liberal Democrat conference, Liberal Democrats, Politics, UK news, Charles Kennedy]
Tue Sep 22 17:22:06 MSK 2015	Business	UK calls for probe into VW scandal as Merkel seeks 'transparency' - as it happened	[Eurozone crisis, Business, Economics, Euro, Financial crisis, Volkswagen (VW), Alexis Tsipras]
Tue Sep 22 17:20:22 MSK 2015	Books	Lauren Groff: 'I didn't want there to be extramarital sex in this book'	[Fiction, Books, Culture, Florida, National Book Awards, Marriage, Awards and prizes]
Tue Sep 22 17:20:09 MSK 2015	Money	English farmland prices double in five years	[Investments, Farming, Investing, Business, Money, Environment, Agriculture, Science, Commodities]
Tue Sep 22 17:19:30 MSK 2015	World news	OECD calls for urgent response to unparalleled refugee crisis	[Refugees, OECD, Business, Global economy, World news, Economics]
Tue Sep 22 17:17:57 MSK 2015	Film	Nanni Moretti: 'I always feel there's something missing'	[Nanni Moretti, Culture, Bereavement, World cinema, Film, Family, Parents and parenting, Life and style, Italy]
Tue Sep 22 17:16:55 MSK 2015	Art and design	Julia Margaret Cameron: soft-focus photographer with an iron will	[Photography, Art and design, Culture, Art, V&A, Museums, Exhibitions]
Tue Sep 22 17:09:30 MSK 2015	Politics	'Just a little prick': Cameron takes sideswipe at Ashcroft	[David Cameron, Lord Ashcroft, UK news, Politics]
Tue Sep 22 17:06:55 MSK 2015	Music	Otello review – lack of blackface makes history but Desdemona steals show	[Opera, Classical music, Culture, Music]
Tue Sep 22 17:05:11 MSK 2015	Sport	A bridge too far: can a card game be considered a sport?	[Bridge, Sport, Sport England, International Olympic Committee]
Tue Sep 22 17:00:02 MSK 2015	Children's books	Why writing a book through letters is beautiful and wild	[Children and teenagers, Books, Culture, Teen romance (childrens and teens)]
Tue Sep 22 16:59:04 MSK 2015	Politics	Ed Davey likens Tory housing sell-off to Mugabe's land reform	[Ed Davey, Liberal Democrats, Politics, Housing, UK news, Society]
Tue Sep 22 16:54:44 MSK 2015	US news	David Petraeus urges Obama to credibly threaten Assad’s air force in Syria	[David Petraeus, US news, Al-Qaida, John McCain, Islamic State, Obama administration, Syria, CIA, Bashar al-Assad, Iraq, World news]
Tue Sep 22 16:51:29 MSK 2015	Sustainable Business - Grundfos partner zone	From your shower to your pint of beer, 10 reasons to love pumps - infographic	[Sustainable Business - Grundfos partner zone]
Tue Sep 22 16:50:28 MSK 2015	Comment is free	Who pulled the plug on quality TV? | Catherine Shoard	[Television, Film, Culture, UK news, World news, Television & radio]
Tue Sep 22 16:50:15 MSK 2015	Politics	Can Corbynomics guru Richard Murphy fix Britain?	[Labour, Politics, Labour party leadership, Jeremy Corbyn, Economics, Business, Tax and spending, Corporate governance, Books]
Tue Sep 22 16:46:19 MSK 2015	Education	School questioned Muslim pupil about Isis after discussion on eco-activism	[Schools, UK news, Islam, Education, Religion, World news]
Tue Sep 22 16:43:48 MSK 2015	Sport	Horse racing tips: Wednesday 23 September	[Horse racing tips, Horse racing, Sport]
Tue Sep 22 16:37:27 MSK 2015	World news	Pope's Philadelphia mass to feature 100,000 wafers baked by 13 nuns	[Pope Francis, Philadelphia, Catholicism, Christianity, Religion, The papacy, World news, US news, Pennsylvania]
Tue Sep 22 16:35:40 MSK 2015	Politics	Labour housing policy 'must be credible' to win back Tory voters	[John Healey, Housing, Construction industry, Business, Labour, Politics, UK news, Society]
Tue Sep 22 16:28:48 MSK 2015	World news	The Greek election in maps	[Greece, Syriza, Europe, World news]
Tue Sep 22 16:28:36 MSK 2015	Marketing Agencies Association partner zone	How agencies can stay relevant in an age of disintermediation	[Marketing Agencies Association partner zone]
Tue Sep 22 16:22:53 MSK 2015	Business	Eric Gabriel obituary	[Construction industry]
Tue Sep 22 16:17:55 MSK 2015	Guardian Sustainable Business	Climate leaders should work with oil companies to put a price on carbon	[Guardian sustainable business, World news, US news, Environment, Climate change, Business, Oil and gas companies, Greenhouse gas emissions, Energy industry, COP 21: UN climate change conference | Paris]
Tue Sep 22 16:17:13 MSK 2015	World news	EU governments push through divisive deal to share 120,000 refugees	[Refugees, Migration, European Union, Europe, World news]
Tue Sep 22 16:17:12 MSK 2015	Fashion	Inside the papal wardrobe: a Swatch watch and an electric shaver – stylewatch	[Fashion, Life and style, Pope Francis, World news, Religion, The papacy]
Tue Sep 22 16:15:27 MSK 2015	Fashion	London fashion is finished with posh style – get real with This is England '90	[Fashion weeks, London fashion week, London fashion week Spring/Summer 2016, Fashion, Life and style]
Tue Sep 22 16:15:01 MSK 2015	Media Network	iOS9 and the iPad Pro: what the latest Apple event means for marketing	[Media & Tech Network, Apple, Advertising, Technology, iPhone, iPad, Marketing & PR, Media, Smartphones, Mobile phones, Tablet computers]
Tue Sep 22 16:14:20 MSK 2015	US news	Republican Ben Carson seeks to soften stance on Muslim president	[Ben Carson, US news, US politics, US elections 2016, Republicans, Islam, US constitution and civil liberties, Religion, World news]
Tue Sep 22 16:12:37 MSK 2015	Music	When pop stars perform TV themes – six 'classics' of the genre	[David Bowie, Music, Pop and rock, Dexys Midnight Runners, Ozzy Osbourne, Culture]
Tue Sep 22 16:12:29 MSK 2015	Media	'Good day, I’m Brian Williams': anchor returns to TV to cover pope's US visit	[Brian Williams, US news, Pope Francis, NBC, MSNBC, The news on TV, Rachel Maddow, Media, Television, Television & radio, US television industry, The papacy]
Tue Sep 22 16:10:45 MSK 2015	Business	Superdry owner begins push into China with catwalk show	[SuperGroup, China, Retail industry, Business, Asia Pacific, World news]
Tue Sep 22 16:10:35 MSK 2015	Sport	East meets West Country: Gloucester opens arms to Japanese rugby fans	[Rugby World Cup, Rugby World Cup 2015, Rugby union, UK news, Japan rugby union team, Scotland rugby union team, Sport, Gloucester]
Tue Sep 22 16:07:23 MSK 2015	Film	Female film-makers poorly represented at major film festivals	[Film industry, Film, Toronto film festival 2015, Venice film festival 2015, Culture, Equality, Society, Women, Business, Life and style, Toronto film festival, Venice film festival, Festivals]
Tue Sep 22 16:04:27 MSK 2015	Comment is free	Should national security ever trump the right to a fair trial? | Joshua Rozenberg	[UK criminal justice, Law, European court of human rights, Human rights, Crime, UK news]
Tue Sep 22 16:04:24 MSK 2015	Television & radio	Muppets, Heroes, X-Files: why we're stuck in the season of the reboot	[US television, Television, Culture, Television & radio, The Muppets, Netflix, Twin Peaks]
Tue Sep 22 16:03:48 MSK 2015	World news	Pope Francis in the US: 10 things to look out for during the historic visit	[Pope Francis, US news, The papacy, World news, Religion, Catholicism, Christianity, Abortion, Same-sex marriage (US)]
Tue Sep 22 16:03:45 MSK 2015	Business	Bank of America shareholders fail to split CEO and chairman roles	[Bank of America, Banking, Business, US news]
Tue Sep 22 16:03:38 MSK 2015	US news	Hillary Clinton to battle drug companies with plan to limit prescription costs	[US elections 2016, Hillary Clinton, Pharmaceuticals industry, Democrats, US politics, US news, Business, US healthcare]
Tue Sep 22 16:02:07 MSK 2015	World news	Catholicism and the modern American family: can Pope Francis bridge the gap?	[Catholicism, Pope Francis, US news, Family, Religion, Abortion, The papacy]
Tue Sep 22 16:01:54 MSK 2015	Guardian Masterclasses	Teen fiction: How to write a novel for young adults | James Dawson	[Guardian Masterclasses, writing and publishing courses, Fiction courses]
Tue Sep 22 16:01:47 MSK 2015	Books	Roald Dahl book to be given away with every McDonald’s Happy Meal in the UK	[Roald Dahl, Children and teenagers, Children's books: 8-12 years, Books, Culture, McDonald's]
Tue Sep 22 15:59:25 MSK 2015	News	The scale of the Volkswagen crisis – in charts	[Environment, Economic policy, Automotive industry, Volkswagen (VW), US news, Business, World news]
Tue Sep 22 15:59:08 MSK 2015	World news	'Putin's banker' files $12bn compensation claim against Russia	[Vladimir Putin, Russia, Europe, World news]
Tue Sep 22 15:57:25 MSK 2015	Environment	The rise of diesel in Europe: the impact on health and pollution	[Pollution, Motoring, Environment, Technology, Health, Society]
Tue Sep 22 15:55:05 MSK 2015	Politics	Fresh revelations published from Ashcroft's biography of Cameron - Politics live	[Politics, UK news, Liberal Democrats, George Osborne, David Cameron, Lord Ashcroft, Defence policy, Norman Lamb, Opinion polls]
Tue Sep 22 15:52:31 MSK 2015	Sport	Cowboys owner Jerry Jones: Brandon Weeden 'a thing of beauty'	[Dallas Cowboys, Sport, NFL, US sports]
Tue Sep 22 15:48:46 MSK 2015	UK news	Gallagher-Appleton divorce triggers dispute over family court reporting	[UK news, Law, Liam Gallagher, Music, Culture, Divorce, Celebrity, Life and style]
Tue Sep 22 15:47:59 MSK 2015	News	UK ministers playing politics with security	[Defence policy, Trident, Jeremy Corbyn, Michael Fallon, MI5, MI6, EU referendum, UK news, World news, Military, Nuclear weapons]
Tue Sep 22 15:47:04 MSK 2015	Shelf Improvement	Shelf Improvement: Terms & Conditions	[Shelf Improvement]
Tue Sep 22 15:45:30 MSK 2015	Business	Corbyn's QE for the people jeopardises the Bank of England's independence	[Business, Economics, Quantitative easing, Bank of England, Inflation, Interest rates, UK news, Jeremy Corbyn, John McDonnell, Politics]
Tue Sep 22 15:43:30 MSK 2015	Film	China enters Jean-Jacques Annaud’s Wolf Totem into Oscars 2016 race	[Oscars 2016, Jean-Jacques Annaud, Film, Oscars, Culture, China, Asia Pacific, Awards and prizes, World news, Film adaptations, Books]
Tue Sep 22 15:43:17 MSK 2015	xAd partner zone	Mobile disruptors: Brian Morrissey, Digiday – video	[xAd partner zone]
Tue Sep 22 15:42:12 MSK 2015	NSPCC partner zone	What are the best tools to measure outcomes for children and families?	[Social Care Network - NSPCC partner zone]
Tue Sep 22 15:41:56 MSK 2015	World news	Theresa May maintains tough stance on 'economic migrants'	[Refugees, Migration, Theresa May, European Union, Europe, Politics, World news, UK news]
Tue Sep 22 15:40:55 MSK 2015	Media	Thai ban on New York Times shows difficulty of exporting press freedom	[Media, Thailand, Asia Pacific, New York Times, Press freedom, Human rights, Newspapers, The Economist, World news, US press and publishing, Magazines, Monarchy]
Tue Sep 22 15:40:48 MSK 2015	Politics	Do women need to swing right to get ahead in politics?	[Women in politics, Women, Gender, Politics, Labour party leadership, Jeremy Corbyn, Yvette Cooper, Labour]
Tue Sep 22 15:40:05 MSK 2015	Football	The Fiver | Small fry compared to Lord Ashcroft	[Football, Sport]
Tue Sep 22 15:37:51 MSK 2015	Books	You’re never too old to read young adult fiction	[Fiction, Books, Young people, Society]
Tue Sep 22 15:35:02 MSK 2015	Comment is free	The Trump juggernaut took out Scott Walker. But he may live to run again | Jeb Lund	[Scott Walker, Republicans, US elections 2016]
Tue Sep 22 15:33:56 MSK 2015	Sport	Romania’s reduced circumstances mask proud history allied with France	[Rugby World Cup 2015, Romania rugby union team, Rugby World Cup, France rugby union team, Rugby union, Sport]
