Wed Sep 23 21:00:09 MSK 2015	Politics	Distrust of Labour on economy is existential threat, says Red Shift	[Labour, Heidi Alexander, Business, UK news, Jeremy Corbyn, Politics, Economic policy, Economics]
Wed Sep 23 20:59:07 MSK 2015	Sport	Olympic Stadium takes tentative look to its future on Rugby World Cup debut | Owen Gibson	[Rugby World Cup 2015, France rugby union team, Romania rugby union team, Rugby union, Rugby World Cup, Sport, West Ham United]
Wed Sep 23 20:55:14 MSK 2015	Football	Arsenal’s Mathieu Flamini rediscovers scoring flair to down Tottenham	[Capital One Cup, Tottenham Hotspur, Arsenal, Sport, Football]
Wed Sep 23 20:53:33 MSK 2015	Football	Manchester United’s Wayne Rooney ends domestic drought against Ipswich	[Capital One Cup, Manchester United, Ipswich Town, Sport, Football]
Wed Sep 23 20:53:05 MSK 2015	Sport	France v Romania: Rugby World Cup 2015 – as it happened	[Rugby World Cup 2015, Rugby World Cup, France rugby union team, Romania rugby union team, Rugby union, Sport]
Wed Sep 23 20:51:14 MSK 2015	US news	Ben Carson attacks 'political correctness' amid backlash on Muslim comments	[Ben Carson, US elections 2016, Republicans, US politics, US news]
Wed Sep 23 20:42:24 MSK 2015	Football	Tottenham v Arsenal: Capital One Cup – as it happened	[Capital One Cup, Tottenham Hotspur, Arsenal, Football, Sport]
Wed Sep 23 20:30:08 MSK 2015	Football	To prevent another Brisbane Roar the A-League needs better due diligence | Shaun Mooney	[A-League, Brisbane Roar, Newcastle Jets, Football, Sport, Australia sport]
Wed Sep 23 20:30:08 MSK 2015	Science	Plantwatch: Mushroom madness – fungi finale?	[Fungi, Foraging, Conservation, Restaurants, New Forest, Food & drink, Wildlife, Biology, Science, Environment]
Wed Sep 23 20:28:45 MSK 2015	World news	Pope Francis: US bishops show 'courage' over Catholic church sex abuse crisis	[Pope Francis, Catholicism, The papacy, US news]
Wed Sep 23 20:28:15 MSK 2015	Environment	Environmental activist David Suzuki on Tony Abbott, solar panels and his book	[Climate change, Adelaide, Environment, Australia news, South Australia]
