Thu Sep 24 13:42:21 MSK 2015	Comment is free	The roots of this refugee crisis go back even further than the Arab spring | Srecko Horvat	[Refugees, Migration, Croatia, Europe, World news]
Thu Sep 24 13:30:40 MSK 2015	Money	UK Volkswagen driver feels 'cheated and annoyed'	[Motoring, Volkswagen (VW), Money, Automotive industry, Business, UK news]
Thu Sep 24 13:30:17 MSK 2015	Marketing Agencies Association partner zone	The Best Awards #DoDifferent Agency Relay: Founded – video	[Marketing Agencies Association partner zone]
Thu Sep 24 13:20:39 MSK 2015	Art and design	Mat Collishaw's shock tactics: 'Cruelty happening before your eyes'	[Mat Collishaw, Art, Sculpture, Culture, Art and design, Exhibitions, Society]
Thu Sep 24 13:19:11 MSK 2015	World news	A new era: can the UN's sustainable development goals succeed?	[United Nations, Poverty, Sustainable development goals, Global development, Social exclusion, Society, Ban Ki-moon, World news, Millennium development goals]
Thu Sep 24 13:17:26 MSK 2015	UK news	Rebekah Brooks on list of journalists who used convicted private detective	[UK news, Media, Rebekah Brooks]
Thu Sep 24 13:10:16 MSK 2015	World news	The big reckoning: how many people did the millennium goals save?	[Millennium development goals, Ghana, World news, Africa, Global development]
Thu Sep 24 13:06:46 MSK 2015	Music	David Gilmour review – colossal sound still has power to thrill	[Pink Floyd, Music, Pop and rock, Culture]
Thu Sep 24 13:05:20 MSK 2015	UK news	City trader 'used links to Vatican' to steal £73m from shipping firm, court hears	[UK news]
Thu Sep 24 13:02:04 MSK 2015	Stage	Symphonie Dramatique review – a star-crossed dance with Romeo and Juliet	[Ballet, Dance, Stage, Culture]
Thu Sep 24 13:01:53 MSK 2015	Film	The Green Inferno review – gleefully offensive cannibal torture-off	[Horror, Film, Culture]
Thu Sep 24 13:00:04 MSK 2015	Life and style	Underwear for trans people: the torture of binding, tucking and packing is over	[Life and style, Fashion, Transgender, Society]
Thu Sep 24 00:57:09 MSK 2015	Business	VW scandal: outgoing boss's €28m pension pot to pay out €1m a year	[Volkswagen (VW), Automotive industry, Business, Executive pay and bonuses, Germany, Europe, World news]
Thu Sep 24 00:55:23 MSK 2015	Books	Basketball veteran Kareem Abdul-Jabbar pens story of Sherlock Homes's brother	[Arthur Conan Doyle, Books, Culture, NBA, Basketball, Sport]
Thu Sep 24 00:53:45 MSK 2015	Stage	The Cocktail Party review – TS Eliot's personal demons laid bare	[Theatre, TS Eliot, Stage, Culture]
Thu Sep 24 00:52:07 MSK 2015	Art and design	'I'm shutting your butt down': 10 interview walkouts	[Zaha Hadid, Media, UK news]
Thu Sep 24 00:50:03 MSK 2015	Music	Cheerleader singer Omi on Taylor Swift and being the ‘wizard of love’	[Music, Culture, Pop and rock]
Thu Sep 24 00:47:12 MSK 2015	Guardian Masterclasses	How to start your own business from scratch | Jim Cregan	[Guardian Masterclasses, Business masterclasses, Start-up businesses]
Thu Sep 24 00:46:32 MSK 2015	Global development	Global goals can deliver on 2C and new development finance – here's how | Owen Barder, Alex Evans and Alice Lépissier	[Sustainable development summit 2015, Sustainable development goals, Environmental sustainability, Global development, Sustainable development, Climate change, Environment, Emissions trading]
Thu Sep 24 00:45:47 MSK 2015	World news	Catalonia election: a guide to its most important vote yet	[Catalonia, Spain, Barcelona holidays, Europe, World news, Politics]
Thu Sep 24 00:35:49 MSK 2015	Music	Loose Tubes review -  euphorically original, full-throttle jazz	[Jazz, Music, Culture]
