Mon Aug 17 18:45:13 MSK 2015	Books	James Tait Black prize goes to Zia Haider Rahman's debut novel	[James Tait Black memorial prize, Fiction, Books, Awards and prizes, Culture, Biography]
Mon Aug 17 18:44:06 MSK 2015	World news	Greece is up for sale to big European corporations | Letters	[Greece, Eurozone crisis, European Union, Syriza, Euro, World news, Business, Global economy]
Mon Aug 17 18:37:04 MSK 2015	Environment	Ministers may force supermarkets to say whether fresh food is from UK on label	[Farming, Tesco, Business, Food & drink industry, Retail industry, Supermarkets, Environment, UK news, Milk]
Mon Aug 17 18:36:18 MSK 2015	Television & radio	How the sitcom nailed British aspirations| Letters	[Television, Comedy, Culture, Comedy, Social mobility, Society, UK news, Morecambe and Wise, British identity and society]
Mon Aug 17 18:35:27 MSK 2015	Sport	Rugby World Cup: what's in it for the residents of Twickenham?	[Rugby World Cup 2015, London, UK news, Rugby World Cup, Rugby union, Sport]
Mon Aug 17 18:32:49 MSK 2015	UK news	Goblin line’s fate could be electrifying | Letters	[Rail transport, Transport, UK news, Office for National Statistics, Eric Pickles, Politics]
Mon Aug 17 18:27:43 MSK 2015	Comment is free	What is the right size family? We need an answer now | Joseph Harker	[Family, Children, Society, Life and style, Parents and parenting, UK news, Newspapers, Newspapers & magazines, Media]
Mon Aug 17 18:27:08 MSK 2015	Comment is free	I’m a Hillary Clinton fan. But I hope she bows out with grace | Mary Dejevsky	[Hillary Clinton, US politics, US news, Democrats, Politics]
Mon Aug 17 18:26:50 MSK 2015	US news	Ted Cruz launches Guam ground game as consultant is sent to tiny island	[US elections 2016, Ted Cruz, Republicans, US news, World news]
Mon Aug 17 18:25:52 MSK 2015	Business	Airbus finalises $26.6bn plane deal with Indian airline IndiGo	[Airbus, Airline industry, Manufacturing sector, India, Wales, Business, UK news, South and Central Asia, World news]
Mon Aug 17 18:19:16 MSK 2015	Sport	Women’s cricket can be thrilling but Ashes Test was poor advertisement | Mike Selvey	[Women's Ashes, England women's cricket team, Sport]
Mon Aug 17 18:18:40 MSK 2015	UK news	Surgeon who drowned off Cornwall was trying to help his sons, inquest hears	[Cornwall, UK news]
Mon Aug 17 18:08:52 MSK 2015	World news	Speculation grows that Iran willing to 'swap' Washington Post reporter	[Iran, Ayatollah Ali Khamenei, Nuclear weapons, US foreign policy, US news, World news, Middle East and North Africa, Barack Obama, Hassan Rouhani]
Mon Aug 17 18:06:40 MSK 2015	US news	Share your most vivid memory of hurricane Katrina with GuardianWitness	[Environment, Natural disasters and extreme weather, Hurricanes, New Orleans, Flooding, US news]
Mon Aug 17 17:54:31 MSK 2015	World news	British Museum may seek loan of the golden rhinoceros of Mapungubwe	[South Africa, Museums, Africa, Culture, World news, Heritage]
Mon Aug 17 17:51:50 MSK 2015	World news	Four more gored to death across Spain as surge in bull-run casualties continues	[Spain, Bullfighting, Animals, Europe, World news]
Mon Aug 17 17:42:40 MSK 2015	Football	Melons, parked buses and fake results: the world according to José Mourinho	[José Mourinho, Football, Chelsea]
Mon Aug 17 17:39:04 MSK 2015	World news	Syria bombs Damascus suburb a day after deadly air strikes on marketplace	[Syria, United Nations, Middle East and North Africa, World news, Bashar al-Assad]
Mon Aug 17 17:37:15 MSK 2015	Stage	‘It’s odd to see myself portrayed on stage. Smile more! Don’t be so grim!’	[Edinburgh festival 2015, Poverty, George Orwell, Books, Social exclusion, Living wage, Stage, Society, Theatre]
Mon Aug 17 17:30:11 MSK 2015	Stage	Lee Hall: Why I put Alan Warner's The Sopranos on stage	[Edinburgh festival 2015, Lee Hall, Musicals, Stage, Books, Alan Warner, Edinburgh festival, Theatre, Culture, Festivals]
Mon Aug 17 17:17:54 MSK 2015	Life and style	From literary heavyweight to lifestyle brand: exploring the cult of Joan Didion	[Women, Joan Didion, Life and style, Fashion, Books, Essays, Céline]
Mon Aug 17 17:16:42 MSK 2015	Comment is free	The Rabbit Who Wants to Fall Asleep is surely the stuff of nightmares | Imogen Russell Williams	[Children and teenagers, Books, Sleep, Culture, Children, Society, Health & wellbeing, Life and style, Publishing, Self-publishing]
